Model,Estimand,Interpretation,Estimate ($),Robust SE ($),95% CI lower ($),95% CI upper ($),p-value,N
Assignment OLS,Offer effect (ITT),Causal,1159.4333254315459,330.46255419762633,511.66863077749554,1807.1980200855962,0.0004523809540652418,11204
Enrollment OLS,Enrollment association,Non-causal,2791.0875025317773,319.8995003824947,2164.0282501200004,3418.1467549435542,3.0407312611116502e-18,11204
Uncontrolled IV,Enrollment effect for compliers*,Causal under IV assumptions,1848.8289738181047,526.3444286770832,817.1013732350298,2880.5565744011797,0.00044552023742716607,11204
Controlled IV,Enrollment effect for compliers*,Causal under IV assumptions,1770.8749756955367,497.6576302893945,795.37838227779,2746.3715691132834,0.00037463736976972584,11204
