Model,Estimand,Estimate ($),SE ($),95% CI lower ($),95% CI upper ($),N
Matching ATE,Enrollment effect for everyone,2942.3320121438937,322.64140948986034,2309.9548495437675,3574.70917474402,11204
"Matching ATE, no bias correction",Enrollment effect for everyone,2967.9097217388367,322.647782390381,2335.5200682536897,3600.2993752239836,11204
Matching ATET,Enrollment effect for the treated,2930.7224930239427,334.741290638666,2274.6295633721575,3586.815422675728,4858
"Matching ATET, no bias correction",Enrollment effect for the treated,2866.2303780392203,334.7463335667529,2210.1275642483847,3522.333191830056,4858
